45      557
31      526
24      480
147     240
242     383
145     504
190     555
239     578
225     609
284     790
340     771
372     794
362     829
412     810
677     862
710     861
727     887
885     874
933     988
992     962
955     764
901     685
737     619
724     502
775     477
879     270
992     109
772     97
682     86
723     208
474     169
420     295
405     358
170     694
112     956
237     976
261     950
501     947
519     938
470     898
494     523
542     553
804     430
684     344
621     295
608     220
381     145
303     20
240     227
255     419
